 TIME (ms)      DELTA_TEMP (K) AVG_TEMP (K)   
  1.9625071E+10  1.9759998E+00  1.8809000E+02 
  1.9628548E+10  1.9749999E+00  1.8800998E+02 
  1.9632017E+10  1.9740000E+00  1.8790997E+02 
  1.9635499E+10  1.9719999E+00  1.8778000E+02 
  1.9638981E+10  1.9719999E+00  1.8771997E+02 
  1.9642458E+10  1.9710000E+00  1.8762000E+02 
  1.9644629E+10  1.9699998E+00  1.8756000E+02 
  1.9645059E+10  1.9699998E+00  1.8756000E+02 
  1.9648541E+10  1.9689999E+00  1.8745999E+02 
  1.9652018E+10  1.9679999E+00  1.8737997E+02 
  1.9655500E+10  1.9679999E+00  1.8726999E+02 
  1.9658969E+10  1.9669998E+00  1.8718997E+02 
  1.9662451E+10  1.9659998E+00  1.8710999E+02 
  1.9665928E+10  1.9649999E+00  1.8703000E+02 
  1.9669410E+10  1.9640000E+00  1.8698999E+02 
  1.9672891E+10  1.9629998E+00  1.8687000E+02 
  1.9676361E+10  1.9629998E+00  1.8681000E+02 
  1.9679838E+10  1.9619999E+00  1.8671997E+02 
  1.9680711E+10  1.9619999E+00  1.8669998E+02 
  1.9681149E+10  1.9619999E+00  1.8669998E+02 
  1.9684618E+10  1.9610000E+00  1.8659998E+02 
  1.9685929E+10  1.9599998E+00  1.8656000E+02 
  1.9689398E+10  1.9599998E+00  1.8651999E+02 
  1.9692880E+10  1.9589999E+00  1.8643997E+02 
  1.9696357E+10  1.9589999E+00  1.8639999E+02 
  1.9699839E+10  1.9579999E+00  1.8631998E+02 
  1.9703308E+10  1.9569998E+00  1.8621997E+02 
  1.9708318E+10  1.9559999E+00  1.8612000E+02 
  1.9711791E+10  1.9559999E+00  1.8607999E+02 
  1.9713970E+10  1.9549999E+00  1.8603998E+02 
  1.9715699E+10  1.9549999E+00  1.8600000E+02 
  1.9716141E+10  1.9540000E+00  1.8594998E+02 
  1.9717878E+10  1.9540000E+00  1.8592999E+02 
  1.9721359E+10  1.9540000E+00  1.8589999E+02 
  1.9724829E+10  1.9529998E+00  1.8584000E+02 
  1.9726139E+10  1.9529998E+00  1.8584000E+02 
  1.9728749E+10  1.9529998E+00  1.8575000E+02 
  1.9732218E+10  1.9519999E+00  1.8569998E+02 
  1.9735699E+10  1.9510000E+00  1.8562997E+02 
  1.9739181E+10  1.9510000E+00  1.8557999E+02 
  1.9742659E+10  1.9499998E+00  1.8550998E+02 
  1.9746128E+10  1.9499998E+00  1.8550000E+02 
  1.9749609E+10  1.9489999E+00  1.8540997E+02 
  1.9753091E+10  1.9489999E+00  1.8538998E+02 
  1.9756569E+10  1.9489999E+00  1.8537000E+02 
  1.9760050E+10  1.9480000E+00  1.8531000E+02 
  1.9763528E+10  1.9489999E+00  1.8528998E+02 
  1.9764830E+10  1.9480000E+00  1.8526999E+02 
  1.9767431E+10  1.9480000E+00  1.8522998E+02 
  1.9770909E+10  1.9480000E+00  1.8522998E+02 
  1.9774390E+10  1.9480000E+00  1.8520999E+02 
  1.9777868E+10  1.9469998E+00  1.8512997E+02 
  1.9781349E+10  1.9469998E+00  1.8512997E+02 
  1.9784819E+10  1.9459999E+00  1.8509000E+02 
  1.9788300E+10  1.9469998E+00  1.8506998E+02 
  1.9794219E+10  1.9449999E+00  1.8498999E+02 
  1.9798139E+10  1.9449999E+00  1.8493997E+02 
  1.9801608E+10  1.9449999E+00  1.8493997E+02 
  1.9805528E+10  1.9449999E+00  1.8485999E+02 
  1.9806831E+10  1.9449999E+00  1.8487997E+02 
  1.9809010E+10  1.9449999E+00  1.8485999E+02 
  1.9810738E+10  1.9449999E+00  1.8485999E+02 
  1.9812479E+10  1.9449999E+00  1.8484000E+02 
  1.9813790E+10  1.9449999E+00  1.8484000E+02 
  1.9815088E+10  1.9439998E+00  1.8481998E+02 
  1.9817701E+10  1.9439998E+00  1.8479999E+02 
  1.9819438E+10  1.9439998E+00  1.8478000E+02 
  1.9821179E+10  1.9439998E+00  1.8478000E+02 
  1.9823350E+10  1.9429998E+00  1.8473999E+02 
  1.9825091E+10  1.9439998E+00  1.8475998E+02 
  1.9828568E+10  1.9429998E+00  1.8469998E+02 
  1.9832037E+10  1.9429998E+00  1.8465997E+02 
  1.9835519E+10  1.9429998E+00  1.8463998E+02 
  1.9839001E+10  1.9429998E+00  1.8462000E+02 
  1.9840299E+10  1.9429998E+00  1.8462000E+02 
  1.9843781E+10  1.9419999E+00  1.8457999E+02 
  1.9846828E+10  1.9419999E+00  1.8456000E+02 
  1.9850301E+10  1.9419999E+00  1.8453998E+02 
  1.9853349E+10  1.9419999E+00  1.8451999E+02 
  1.9853779E+10  1.9419999E+00  1.8451999E+02 
  1.9857261E+10  1.9419999E+00  1.8450000E+02 
  1.9860738E+10  1.9419999E+00  1.8447998E+02 
  1.9864207E+10  1.9419999E+00  1.8445999E+02 
  1.9867689E+10  1.9410000E+00  1.8442999E+02 
  1.9871171E+10  1.9419999E+00  1.8442999E+02 
  1.9874648E+10  1.9410000E+00  1.8440997E+02 
  1.9880460E+10  1.9410000E+00  1.8438998E+02 
  1.9883938E+10  1.9419999E+00  1.8440997E+02 
  1.9884368E+10  1.9410000E+00  1.8438998E+02 
  1.9885240E+10  1.9419999E+00  1.8440997E+02 
  1.9888718E+10  1.9410000E+00  1.8437000E+02 
  1.9892199E+10  1.9419999E+00  1.8437000E+02 
  1.9895669E+10  1.9410000E+00  1.8434998E+02 
  1.9899150E+10  1.9419999E+00  1.8437000E+02 
  1.9902628E+10  1.9419999E+00  1.8434998E+02 
  1.9906548E+10  1.9410000E+00  1.8431998E+02 
