time                     TG21A    TG21B  TG21avg   DTH21   DTL21 
1975-092T20:11:11.660  298.901  269.552  284.226   2.927  29.348 
1975-092T20:18:26.345  298.868  269.520  284.194   2.927  29.348 
1975-092T20:25:41.039  298.788  269.440  284.114   2.926  29.347 
1975-092T20:32:55.733  298.755  269.408  284.081   2.926  29.347 
1975-092T20:40:10.429  298.738  269.396  284.067   2.926  29.342 
1975-092T20:47:25.123  298.686  269.355  284.021   2.925  29.331 
1975-092T20:54:39.819  298.604  269.279  283.941   2.924  29.325 
1975-092T21:01:54.513  298.519  269.205  283.862   2.923  29.314 
1975-092T21:09:09.209  298.472  269.158  283.815   2.923  29.313 
1975-092T21:16:23.903  298.466  269.164  283.815   2.923  29.303 
1975-092T21:23:38.599  298.417  269.120  283.768   2.922  29.297 
1975-092T21:30:53.293  298.370  269.073  283.722   2.922  29.297 
1975-092T21:38:07.989  298.318  269.032  283.675   2.922  29.286 
1975-092T21:45:22.683  298.274  268.983  283.629   2.921  29.291 
1975-092T21:52:37.380  298.186  268.912  283.549   2.920  29.274 
1975-092T21:59:52.074  298.194  268.904  283.549   2.920  29.290 
1975-092T22:07:06.770  298.112  268.828  283.470   2.919  29.284 
1975-092T22:14:21.464  298.030  268.752  283.391   2.919  29.278 
1975-092T22:21:36.160  297.978  268.711  283.344   2.918  29.267 
1975-092T22:28:50.855  297.934  268.662  283.298   2.918  29.272 
1975-092T22:36:05.551  297.882  268.621  283.251   2.917  29.261 
1975-092T22:43:20.247  297.846  268.591  283.219   2.917  29.256 
1975-092T22:50:34.941  297.795  268.550  283.172   2.916  29.245 
1975-092T22:57:49.637  297.762  268.517  283.140   2.916  29.244 
1975-092T23:05:04.332  297.743  268.509  283.126   2.916  29.234 
1975-092T23:12:19.028  297.694  268.465  283.079   2.915  29.228 
1975-092T23:19:33.724  297.565  268.343  282.954   2.914  29.222 
1975-092T23:26:48.419  297.480  268.270  282.875   2.913  29.211 
1975-092T23:34:03.115  297.483  268.267  282.875   2.913  29.216 
1975-092T23:41:17.811  297.434  268.224  282.829   2.912  29.210 
1975-092T23:48:32.505  297.371  268.166  282.769   2.912  29.205 
1975-092T23:55:47.202  297.333  268.139  282.736   2.912  29.194 
1975-093T00:03:01.897  297.202  268.020  282.611   2.910  29.182 
1975-093T00:10:16.594  297.153  267.976  282.565   2.910  29.177 
1975-093T00:17:31.289  297.071  267.900  282.486   2.909  29.171 
1975-093T00:24:45.984  297.069  267.903  282.486   2.909  29.166 
1975-093T00:32:00.681  296.973  267.814  282.393   2.908  29.160 
1975-093T00:39:15.376  296.924  267.770  282.347   2.907  29.154 
1975-093T00:46:30.072  296.845  267.692  282.269   2.906  29.153 
1975-093T00:53:44.768  296.832  267.678  282.255   2.906  29.153 
1975-093T01:00:59.463  296.720  267.568  282.144   2.905  29.152 
1975-093T01:08:14.159  296.671  267.524  282.098   2.904  29.147 
1975-093T01:15:28.855  296.671  267.524  282.098   2.904  29.147 
1975-093T01:22:43.550  296.576  267.435  282.006   2.904  29.140 
1975-093T01:29:58.244  296.538  267.408  281.973   2.903  29.130 
1975-093T01:37:12.939  296.459  267.330  281.894   2.903  29.129 
1975-093T01:44:27.635  296.408  267.289  281.848   2.902  29.118 
1975-093T01:51:42.329  296.313  267.200  281.757   2.901  29.112 
1975-093T01:58:57.024  296.310  267.203  281.757   2.901  29.107 
1975-093T02:06:11.719  296.183  267.082  281.632   2.899  29.101 
1975-093T02:13:26.413  296.177  267.087  281.632   2.900  29.091 
1975-093T02:20:41.109  296.055  266.961  281.508   2.898  29.095 
1975-093T02:27:55.804  296.050  266.966  281.508   2.898  29.084 
1975-093T02:35:10.498  295.955  266.877  281.416   2.897  29.078 
1975-093T02:42:25.193  295.920  266.847  281.384   2.896  29.073 
1975-093T02:49:39.888  295.841  266.769  281.305   2.896  29.072 
1975-093T02:56:54.584  295.774  266.718  281.246   2.895  29.056 
1975-093T03:04:09.279  295.728  266.672  281.200   2.895  29.056 
1975-093T03:11:23.975  295.726  266.675  281.200   2.895  29.051 
1975-093T03:18:38.670  295.601  266.552  281.076   2.893  29.049 
1975-093T03:25:53.364  295.547  266.514  281.031   2.893  29.034 
1975-093T03:33:08.059  295.502  266.468  280.985   2.893  29.033 
1975-093T03:40:22.754  295.388  266.361  280.874   2.891  29.027 
1975-093T03:47:37.450  295.324  266.307  280.815   2.890  29.016 
1975-093T03:54:52.146  295.291  266.275  280.783   2.890  29.016 
1975-093T04:02:06.841  295.194  266.189  280.692   2.889  29.005 
